Asset,Maximum Capability,Total Net Generation,Year,Month,Day,Hour,Minute
Blackspring Ridge (BSR1),300,0,2015,4,9,13,5
Blue Trail Wind (BTR1),66,0,2015,4,9,13,5
Castle River #1 (CR1),39,0,2015,4,9,13,5
Castle Rock Wind Farm (CRR1),77,7,2015,4,9,13,5
Cowley Ridge (CRW1),38,0,2015,4,9,13,5
Enmax Taber (TAB1),81,2,2015,4,9,13,5
Ghost Pine (NEP1),82,0,2015,4,9,13,5
Halkirk Wind Power Facility (HAL1),150,0,2015,4,9,13,5
Kettles Hill (KHW1),63,0,2015,4,9,13,5
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,5
Oldman 2 Wind Farm 1 (OWF1),46,7,2015,4,9,13,5
Soderglen Wind  (GWW1),71,7,2015,4,9,13,5
Summerview 1 (IEW1),66,2,2015,4,9,13,5
Summerview 2 (IEW2),66,4,2015,4,9,13,5
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,5
Suncor Magrath (SCR2),30,7,2015,4,9,13,5
Suncor Wintering Hills (SCR4),88,0,2015,4,9,13,5
Ardenville Wind (ARD1),68,2,2015,4,9,13,6
Blackspring Ridge (BSR1),300,0,2015,4,9,13,6
Blue Trail Wind (BTR1),66,0,2015,4,9,13,6
Castle River #1 (CR1),39,0,2015,4,9,13,6
Castle Rock Wind Farm (CRR1),77,7,2015,4,9,13,6
Cowley Ridge (CRW1),38,0,2015,4,9,13,6
Enmax Taber (TAB1),81,2,2015,4,9,13,6
Ghost Pine (NEP1),82,0,2015,4,9,13,6
Halkirk Wind Power Facility (HAL1),150,0,2015,4,9,13,6
Kettles Hill (KHW1),63,0,2015,4,9,13,6
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,6
Oldman 2 Wind Farm 1 (OWF1),46,6,2015,4,9,13,6
Soderglen Wind  (GWW1),71,7,2015,4,9,13,6
Summerview 1 (IEW1),66,2,2015,4,9,13,6
Summerview 2 (IEW2),66,4,2015,4,9,13,6
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,6
Suncor Magrath (SCR2),30,6,2015,4,9,13,6
Suncor Wintering Hills (SCR4),88,0,2015,4,9,13,6
Ardenville Wind (ARD1),68,1,2015,4,9,13,7
Blackspring Ridge (BSR1),300,0,2015,4,9,13,7
Blue Trail Wind (BTR1),66,0,2015,4,9,13,7
Castle River #1 (CR1),39,0,2015,4,9,13,7
Castle Rock Wind Farm (CRR1),77,5,2015,4,9,13,7
Cowley Ridge (CRW1),38,1,2015,4,9,13,7
Enmax Taber (TAB1),81,2,2015,4,9,13,7
Ghost Pine (NEP1),82,0,2015,4,9,13,7
Halkirk Wind Power Facility (HAL1),150,0,2015,4,9,13,7
Kettles Hill (KHW1),63,0,2015,4,9,13,7
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,7
Oldman 2 Wind Farm 1 (OWF1),46,6,2015,4,9,13,7
Soderglen Wind  (GWW1),71,7,2015,4,9,13,7
Summerview 1 (IEW1),66,2,2015,4,9,13,7
Summerview 2 (IEW2),66,4,2015,4,9,13,7
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,7
Suncor Magrath (SCR2),30,5,2015,4,9,13,7
Suncor Wintering Hills (SCR4),88,0,2015,4,9,13,7
Ardenville Wind (ARD1),68,2,2015,4,9,13,8
Blackspring Ridge (BSR1),300,0,2015,4,9,13,8
Blue Trail Wind (BTR1),66,0,2015,4,9,13,8
Castle River #1 (CR1),39,0,2015,4,9,13,8
Castle Rock Wind Farm (CRR1),77,5,2015,4,9,13,8
Cowley Ridge (CRW1),38,0,2015,4,9,13,8
Enmax Taber (TAB1),81,2,2015,4,9,13,8
Ghost Pine (NEP1),82,0,2015,4,9,13,8
Halkirk Wind Power Facility (HAL1),150,0,2015,4,9,13,8
Kettles Hill (KHW1),63,0,2015,4,9,13,8
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,8
Oldman 2 Wind Farm 1 (OWF1),46,5,2015,4,9,13,8
Soderglen Wind  (GWW1),71,7,2015,4,9,13,8
Summerview 1 (IEW1),66,2,2015,4,9,13,8
Summerview 2 (IEW2),66,4,2015,4,9,13,8
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,8
Suncor Magrath (SCR2),30,4,2015,4,9,13,8
Suncor Wintering Hills (SCR4),88,0,2015,4,9,13,8
Ardenville Wind (ARD1),68,2,2015,4,9,13,9
Blackspring Ridge (BSR1),300,0,2015,4,9,13,9
Blue Trail Wind (BTR1),66,0,2015,4,9,13,9
Castle River #1 (CR1),39,0,2015,4,9,13,9
Castle Rock Wind Farm (CRR1),77,4,2015,4,9,13,9
Cowley Ridge (CRW1),38,0,2015,4,9,13,9
Enmax Taber (TAB1),81,3,2015,4,9,13,9
Ghost Pine (NEP1),82,0,2015,4,9,13,9
Halkirk Wind Power Facility (HAL1),150,1,2015,4,9,13,9
Kettles Hill (KHW1),63,0,2015,4,9,13,9
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,9
Oldman 2 Wind Farm 1 (OWF1),46,4,2015,4,9,13,9
Soderglen Wind  (GWW1),71,6,2015,4,9,13,9
Summerview 1 (IEW1),66,3,2015,4,9,13,9
Summerview 2 (IEW2),66,4,2015,4,9,13,9
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,9
Suncor Magrath (SCR2),30,3,2015,4,9,13,9
Suncor Wintering Hills (SCR4),88,0,2015,4,9,13,9
Ardenville Wind (ARD1),68,2,2015,4,9,13,10
Blackspring Ridge (BSR1),300,0,2015,4,9,13,10
Blue Trail Wind (BTR1),66,0,2015,4,9,13,10
Castle River #1 (CR1),39,0,2015,4,9,13,10
Castle Rock Wind Farm (CRR1),77,5,2015,4,9,13,10
Cowley Ridge (CRW1),38,0,2015,4,9,13,10
Enmax Taber (TAB1),81,3,2015,4,9,13,10
Ghost Pine (NEP1),82,0,2015,4,9,13,10
Halkirk Wind Power Facility (HAL1),150,1,2015,4,9,13,10
Kettles Hill (KHW1),63,0,2015,4,9,13,10
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,10
Oldman 2 Wind Farm 1 (OWF1),46,5,2015,4,9,13,10
Soderglen Wind  (GWW1),71,6,2015,4,9,13,10
Summerview 1 (IEW1),66,2,2015,4,9,13,10
