Asset,Maximum Capability,Total Net Generation,Year,Month,Day,Hour,Minute
Halkirk Wind Power Facility (HAL1),150,2,2015,4,9,13,25
Kettles Hill (KHW1),63,0,2015,4,9,13,25
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,25
Oldman 2 Wind Farm 1 (OWF1),46,8,2015,4,9,13,25
Soderglen Wind  (GWW1),71,7,2015,4,9,13,25
Summerview 1 (IEW1),66,3,2015,4,9,13,25
Summerview 2 (IEW2),66,4,2015,4,9,13,25
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,25
Suncor Magrath (SCR2),30,2,2015,4,9,13,25
Suncor Wintering Hills (SCR4),88,0,2015,4,9,13,25
Ardenville Wind (ARD1),68,6,2015,4,9,13,26
Blackspring Ridge (BSR1),300,1,2015,4,9,13,26
Blue Trail Wind (BTR1),66,0,2015,4,9,13,26
Castle River #1 (CR1),39,0,2015,4,9,13,26
Castle Rock Wind Farm (CRR1),77,4,2015,4,9,13,26
Cowley Ridge (CRW1),38,1,2015,4,9,13,26
Enmax Taber (TAB1),81,4,2015,4,9,13,26
Ghost Pine (NEP1),82,0,2015,4,9,13,26
Halkirk Wind Power Facility (HAL1),150,2,2015,4,9,13,26
Kettles Hill (KHW1),63,3,2015,4,9,13,26
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,26
Oldman 2 Wind Farm 1 (OWF1),46,9,2015,4,9,13,26
Soderglen Wind  (GWW1),71,8,2015,4,9,13,26
Summerview 1 (IEW1),66,3,2015,4,9,13,26
Summerview 2 (IEW2),66,4,2015,4,9,13,26
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,26
Suncor Magrath (SCR2),30,2,2015,4,9,13,26
Suncor Wintering Hills (SCR4),88,0,2015,4,9,13,26
Ardenville Wind (ARD1),68,8,2015,4,9,13,27
Blackspring Ridge (BSR1),300,1,2015,4,9,13,27
Blue Trail Wind (BTR1),66,0,2015,4,9,13,27
Castle River #1 (CR1),39,0,2015,4,9,13,27
Castle Rock Wind Farm (CRR1),77,4,2015,4,9,13,27
Cowley Ridge (CRW1),38,0,2015,4,9,13,27
Enmax Taber (TAB1),81,4,2015,4,9,13,27
Ghost Pine (NEP1),82,0,2015,4,9,13,27
Halkirk Wind Power Facility (HAL1),150,2,2015,4,9,13,27
Kettles Hill (KHW1),63,0,2015,4,9,13,27
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,27
Oldman 2 Wind Farm 1 (OWF1),46,9,2015,4,9,13,27
Soderglen Wind  (GWW1),71,7,2015,4,9,13,27
Summerview 1 (IEW1),66,2,2015,4,9,13,27
Summerview 2 (IEW2),66,6,2015,4,9,13,27
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,27
Suncor Magrath (SCR2),30,2,2015,4,9,13,27
Suncor Wintering Hills (SCR4),88,0,2015,4,9,13,27
Ardenville Wind (ARD1),68,8,2015,4,9,13,28
Blackspring Ridge (BSR1),300,0,2015,4,9,13,28
Blue Trail Wind (BTR1),66,0,2015,4,9,13,28
Castle River #1 (CR1),39,0,2015,4,9,13,28
Castle Rock Wind Farm (CRR1),77,3,2015,4,9,13,28
Cowley Ridge (CRW1),38,0,2015,4,9,13,28
Enmax Taber (TAB1),81,4,2015,4,9,13,28
Ghost Pine (NEP1),82,0,2015,4,9,13,28
Halkirk Wind Power Facility (HAL1),150,2,2015,4,9,13,28
Kettles Hill (KHW1),63,2,2015,4,9,13,28
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,28
Oldman 2 Wind Farm 1 (OWF1),46,8,2015,4,9,13,28
Soderglen Wind  (GWW1),71,9,2015,4,9,13,28
Summerview 1 (IEW1),66,0,2015,4,9,13,28
Summerview 2 (IEW2),66,5,2015,4,9,13,28
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,28
Suncor Magrath (SCR2),30,2,2015,4,9,13,28
Suncor Wintering Hills (SCR4),88,0,2015,4,9,13,28
Ardenville Wind (ARD1),68,9,2015,4,9,13,29
Blackspring Ridge (BSR1),300,1,2015,4,9,13,29
Blue Trail Wind (BTR1),66,0,2015,4,9,13,29
Castle River #1 (CR1),39,0,2015,4,9,13,29
Castle Rock Wind Farm (CRR1),77,4,2015,4,9,13,29
Cowley Ridge (CRW1),38,1,2015,4,9,13,29
Enmax Taber (TAB1),81,3,2015,4,9,13,29
Ghost Pine (NEP1),82,0,2015,4,9,13,29
Halkirk Wind Power Facility (HAL1),150,2,2015,4,9,13,29
Kettles Hill (KHW1),63,2,2015,4,9,13,29
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,29
Oldman 2 Wind Farm 1 (OWF1),46,7,2015,4,9,13,29
Soderglen Wind  (GWW1),71,9,2015,4,9,13,29
Summerview 1 (IEW1),66,2,2015,4,9,13,29
Summerview 2 (IEW2),66,5,2015,4,9,13,29
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,29
Suncor Magrath (SCR2),30,2,2015,4,9,13,29
Suncor Wintering Hills (SCR4),88,0,2015,4,9,13,29
Ardenville Wind (ARD1),68,8,2015,4,9,13,30
Blackspring Ridge (BSR1),300,1,2015,4,9,13,30
Blue Trail Wind (BTR1),66,0,2015,4,9,13,30
Castle River #1 (CR1),39,0,2015,4,9,13,30
Castle Rock Wind Farm (CRR1),77,3,2015,4,9,13,30
Cowley Ridge (CRW1),38,1,2015,4,9,13,30
Enmax Taber (TAB1),81,3,2015,4,9,13,30
Ghost Pine (NEP1),82,0,2015,4,9,13,30
Halkirk Wind Power Facility (HAL1),150,3,2015,4,9,13,30
Kettles Hill (KHW1),63,0,2015,4,9,13,30
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,30
Oldman 2 Wind Farm 1 (OWF1),46,7,2015,4,9,13,30
Soderglen Wind  (GWW1),71,7,2015,4,9,13,30
Summerview 1 (IEW1),66,4,2015,4,9,13,30
Summerview 2 (IEW2),66,4,2015,4,9,13,30
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,30
Suncor Magrath (SCR2),30,2,2015,4,9,13,30
Suncor Wintering Hills (SCR4),88,1,2015,4,9,13,30
Ardenville Wind (ARD1),68,8,2015,4,9,13,31
Blackspring Ridge (BSR1),300,0,2015,4,9,13,31
Blue Trail Wind (BTR1),66,0,2015,4,9,13,31
Castle River #1 (CR1),39,0,2015,4,9,13,31
Castle Rock Wind Farm (CRR1),77,3,2015,4,9,13,31
Cowley Ridge (CRW1),38,1,2015,4,9,13,31
Enmax Taber (TAB1),81,4,2015,4,9,13,31
Ghost Pine (NEP1),82,0,2015,4,9,13,31
Halkirk Wind Power Facility (HAL1),150,3,2015,4,9,13,31
Kettles Hill (KHW1),63,2,2015,4,9,13,31
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,31
Oldman 2 Wind Farm 1 (OWF1),46,6,2015,4,9,13,31
Soderglen Wind  (GWW1),71,8,2015,4,9,13,31
Summerview 1 (IEW1),66,4,2015,4,9,13,31
Summerview 2 (IEW2),66,5,2015,4,9,13,31
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,31
Suncor Magrath (SCR2),30,2,2015,4,9,13,31
Suncor Wintering Hills (SCR4),88,1,2015,4,9,13,31
Ardenville Wind (ARD1),68,7,2015,4,9,13,32
Blackspring Ridge (BSR1),300,0,2015,4,9,13,32
Blue Trail Wind (BTR1),66,0,2015,4,9,13,32
Castle River #1 (CR1),39,0,2015,4,9,13,32
Castle Rock Wind Farm (CRR1),77,4,2015,4,9,13,32
Cowley Ridge (CRW1),38,1,2015,4,9,13,32
Enmax Taber (TAB1),81,4,2015,4,9,13,32
Ghost Pine (NEP1),82,0,2015,4,9,13,32
Halkirk Wind Power Facility (HAL1),150,2,2015,4,9,13,32
Kettles Hill (KHW1),63,2,2015,4,9,13,32
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,32
Oldman 2 Wind Farm 1 (OWF1),46,5,2015,4,9,13,32
Soderglen Wind  (GWW1),71,8,2015,4,9,13,32
Summerview 1 (IEW1),66,5,2015,4,9,13,32
Summerview 2 (IEW2),66,5,2015,4,9,13,32
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,32
Suncor Magrath (SCR2),30,2,2015,4,9,13,32
Suncor Wintering Hills (SCR4),88,1,2015,4,9,13,32
Ardenville Wind (ARD1),68,8,2015,4,9,13,33
Blackspring Ridge (BSR1),300,0,2015,4,9,13,33
Blue Trail Wind (BTR1),66,0,2015,4,9,13,33
Castle River #1 (CR1),39,0,2015,4,9,13,33
Castle Rock Wind Farm (CRR1),77,2,2015,4,9,13,33
Cowley Ridge (CRW1),38,1,2015,4,9,13,33
Enmax Taber (TAB1),81,4,2015,4,9,13,33
Ghost Pine (NEP1),82,0,2015,4,9,13,33
Halkirk Wind Power Facility (HAL1),150,2,2015,4,9,13,33
Kettles Hill (KHW1),63,0,2015,4,9,13,33
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,33
Oldman 2 Wind Farm 1 (OWF1),46,6,2015,4,9,13,33
Soderglen Wind  (GWW1),71,7,2015,4,9,13,33
Summerview 1 (IEW1),66,3,2015,4,9,13,33
Summerview 2 (IEW2),66,4,2015,4,9,13,33
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,33
Suncor Magrath (SCR2),30,4,2015,4,9,13,33
Suncor Wintering Hills (SCR4),88,1,2015,4,9,13,33
Ardenville Wind (ARD1),68,6,2015,4,9,13,34
Blackspring Ridge (BSR1),300,1,2015,4,9,13,34
Blue Trail Wind (BTR1),66,0,2015,4,9,13,34
Castle River #1 (CR1),39,0,2015,4,9,13,34
Castle Rock Wind Farm (CRR1),77,2,2015,4,9,13,34
Cowley Ridge (CRW1),38,0,2015,4,9,13,34
Enmax Taber (TAB1),81,4,2015,4,9,13,34
Ghost Pine (NEP1),82,0,2015,4,9,13,34
Halkirk Wind Power Facility (HAL1),150,2,2015,4,9,13,34
Kettles Hill (KHW1),63,0,2015,4,9,13,34
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,34
Oldman 2 Wind Farm 1 (OWF1),46,6,2015,4,9,13,34
Soderglen Wind  (GWW1),71,6,2015,4,9,13,34
Summerview 1 (IEW1),66,3,2015,4,9,13,34
Summerview 2 (IEW2),66,4,2015,4,9,13,34
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,34
Suncor Magrath (SCR2),30,5,2015,4,9,13,34
Suncor Wintering Hills (SCR4),88,1,2015,4,9,13,34
Ardenville Wind (ARD1),68,5,2015,4,9,13,35
Blackspring Ridge (BSR1),300,2,2015,4,9,13,35
Blue Trail Wind (BTR1),66,0,2015,4,9,13,35
Castle River #1 (CR1),39,0,2015,4,9,13,35
Castle Rock Wind Farm (CRR1),77,2,2015,4,9,13,35
Cowley Ridge (CRW1),38,0,2015,4,9,13,35
Enmax Taber (TAB1),81,4,2015,4,9,13,35
Ghost Pine (NEP1),82,0,2015,4,9,13,35
Halkirk Wind Power Facility (HAL1),150,3,2015,4,9,13,35
Kettles Hill (KHW1),63,3,2015,4,9,13,35
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,35
Oldman 2 Wind Farm 1 (OWF1),46,6,2015,4,9,13,35
Soderglen Wind  (GWW1),71,6,2015,4,9,13,35
Summerview 1 (IEW1),66,1,2015,4,9,13,35
Summerview 2 (IEW2),66,5,2015,4,9,13,35
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,35
Suncor Magrath (SCR2),30,5,2015,4,9,13,35
Suncor Wintering Hills (SCR4),88,1,2015,4,9,13,35
Ardenville Wind (ARD1),68,5,2015,4,9,13,36
Blackspring Ridge (BSR1),300,1,2015,4,9,13,36
Blue Trail Wind (BTR1),66,0,2015,4,9,13,36
Castle River #1 (CR1),39,0,2015,4,9,13,36
Castle Rock Wind Farm (CRR1),77,2,2015,4,9,13,36
Cowley Ridge (CRW1),38,1,2015,4,9,13,36
Enmax Taber (TAB1),81,4,2015,4,9,13,36
Ghost Pine (NEP1),82,0,2015,4,9,13,36
Halkirk Wind Power Facility (HAL1),150,2,2015,4,9,13,36
Kettles Hill (KHW1),63,4,2015,4,9,13,36
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,36
Oldman 2 Wind Farm 1 (OWF1),46,7,2015,4,9,13,36
Soderglen Wind  (GWW1),71,5,2015,4,9,13,36
Summerview 1 (IEW1),66,2,2015,4,9,13,36
Summerview 2 (IEW2),66,5,2015,4,9,13,36
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,36
Suncor Magrath (SCR2),30,6,2015,4,9,13,36
Suncor Wintering Hills (SCR4),88,1,2015,4,9,13,36
Ardenville Wind (ARD1),68,4,2015,4,9,13,37
Blackspring Ridge (BSR1),300,2,2015,4,9,13,37
Blue Trail Wind (BTR1),66,0,2015,4,9,13,37
Castle River #1 (CR1),39,0,2015,4,9,13,37
Castle Rock Wind Farm (CRR1),77,2,2015,4,9,13,37
Cowley Ridge (CRW1),38,0,2015,4,9,13,37
Enmax Taber (TAB1),81,4,2015,4,9,13,37
Ghost Pine (NEP1),82,0,2015,4,9,13,37
Halkirk Wind Power Facility (HAL1),150,3,2015,4,9,13,37
Kettles Hill (KHW1),63,4,2015,4,9,13,37
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,37
Oldman 2 Wind Farm 1 (OWF1),46,7,2015,4,9,13,37
Soderglen Wind  (GWW1),71,4,2015,4,9,13,37
Summerview 1 (IEW1),66,3,2015,4,9,13,37
Summerview 2 (IEW2),66,4,2015,4,9,13,37
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,37
Suncor Magrath (SCR2),30,4,2015,4,9,13,37
Suncor Wintering Hills (SCR4),88,1,2015,4,9,13,37
Ardenville Wind (ARD1),68,3,2015,4,9,13,38
Blackspring Ridge (BSR1),300,1,2015,4,9,13,38
Blue Trail Wind (BTR1),66,0,2015,4,9,13,38
Castle River #1 (CR1),39,0,2015,4,9,13,38
Castle Rock Wind Farm (CRR1),77,1,2015,4,9,13,38
Cowley Ridge (CRW1),38,0,2015,4,9,13,38
Enmax Taber (TAB1),81,4,2015,4,9,13,38
Ghost Pine (NEP1),82,0,2015,4,9,13,38
Halkirk Wind Power Facility (HAL1),150,2,2015,4,9,13,38
Kettles Hill (KHW1),63,8,2015,4,9,13,38
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,38
Oldman 2 Wind Farm 1 (OWF1),46,7,2015,4,9,13,38
Soderglen Wind  (GWW1),71,4,2015,4,9,13,38
Summerview 1 (IEW1),66,4,2015,4,9,13,38
Summerview 2 (IEW2),66,4,2015,4,9,13,38
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,38
Suncor Magrath (SCR2),30,3,2015,4,9,13,38
Suncor Wintering Hills (SCR4),88,0,2015,4,9,13,38
Ardenville Wind (ARD1),68,3,2015,4,9,13,39
Blackspring Ridge (BSR1),300,1,2015,4,9,13,39
Blue Trail Wind (BTR1),66,0,2015,4,9,13,39
Castle River #1 (CR1),39,0,2015,4,9,13,39
Castle Rock Wind Farm (CRR1),77,2,2015,4,9,13,39
Cowley Ridge (CRW1),38,0,2015,4,9,13,39
Enmax Taber (TAB1),81,3,2015,4,9,13,39
Ghost Pine (NEP1),82,0,2015,4,9,13,39
Halkirk Wind Power Facility (HAL1),150,2,2015,4,9,13,39
Kettles Hill (KHW1),63,7,2015,4,9,13,39
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,39
Oldman 2 Wind Farm 1 (OWF1),46,6,2015,4,9,13,39
Soderglen Wind  (GWW1),71,4,2015,4,9,13,39
Summerview 1 (IEW1),66,6,2015,4,9,13,39
Summerview 2 (IEW2),66,5,2015,4,9,13,39
Suncor Chin Chute (SCR3),30,0,2015,4,9,13,39
Suncor Magrath (SCR2),30,3,2015,4,9,13,39
Suncor Wintering Hills (SCR4),88,0,2015,4,9,13,39
Ardenville Wind (ARD1),68,6,2015,4,9,13,40
Blackspring Ridge (BSR1),300,2,2015,4,9,13,40
Blue Trail Wind (BTR1),66,0,2015,4,9,13,40
Castle River #1 (CR1),39,0,2015,4,9,13,40
Castle Rock Wind Farm (CRR1),77,3,2015,4,9,13,40
Cowley Ridge (CRW1),38,1,2015,4,9,13,40
Enmax Taber (TAB1),81,3,2015,4,9,13,40
Ghost Pine (NEP1),82,0,2015,4,9,13,40
Halkirk Wind Power Facility (HAL1),150,2,2015,4,9,13,40
Kettles Hill (KHW1),63,6,2015,4,9,13,40
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,40
Oldman 2 Wind Farm 1 (OWF1),46,7,2015,4,9,13,40
Soderglen Wind  (GWW1),71,5,2015,4,9,13,40
Summerview 1 (IEW1),66,6,2015,4,9,13,40
Summerview 2 (IEW2),66,5,2015,4,9,13,40
Suncor Chin Chute (SCR3),30,0,2015,4,9,13,40
Suncor Magrath (SCR2),30,3,2015,4,9,13,40
Suncor Wintering Hills (SCR4),88,0,2015,4,9,13,40
Ardenville Wind (ARD1),68,5,2015,4,9,13,41
Blackspring Ridge (BSR1),300,1,2015,4,9,13,41
Blue Trail Wind (BTR1),66,0,2015,4,9,13,41
Castle River #1 (CR1),39,0,2015,4,9,13,41
Castle Rock Wind Farm (CRR1),77,2,2015,4,9,13,41
Cowley Ridge (CRW1),38,1,2015,4,9,13,41
Enmax Taber (TAB1),81,3,2015,4,9,13,41
Ghost Pine (NEP1),82,0,2015,4,9,13,41
Halkirk Wind Power Facility (HAL1),150,3,2015,4,9,13,41
Kettles Hill (KHW1),63,6,2015,4,9,13,41
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,41
Oldman 2 Wind Farm 1 (OWF1),46,8,2015,4,9,13,41
Soderglen Wind  (GWW1),71,6,2015,4,9,13,41
Summerview 1 (IEW1),66,5,2015,4,9,13,41
Summerview 2 (IEW2),66,5,2015,4,9,13,41
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,41
Suncor Magrath (SCR2),30,3,2015,4,9,13,41
Suncor Wintering Hills (SCR4),88,0,2015,4,9,13,41
Ardenville Wind (ARD1),68,4,2015,4,9,13,42
Blackspring Ridge (BSR1),300,1,2015,4,9,13,42
Blue Trail Wind (BTR1),66,0,2015,4,9,13,42
Castle River #1 (CR1),39,1,2015,4,9,13,42
Castle Rock Wind Farm (CRR1),77,2,2015,4,9,13,42
Cowley Ridge (CRW1),38,1,2015,4,9,13,42
Enmax Taber (TAB1),81,3,2015,4,9,13,42
Ghost Pine (NEP1),82,0,2015,4,9,13,42
Halkirk Wind Power Facility (HAL1),150,3,2015,4,9,13,42
Kettles Hill (KHW1),63,5,2015,4,9,13,42
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,42
Oldman 2 Wind Farm 1 (OWF1),46,7,2015,4,9,13,42
Soderglen Wind  (GWW1),71,5,2015,4,9,13,42
Summerview 1 (IEW1),66,5,2015,4,9,13,42
Summerview 2 (IEW2),66,5,2015,4,9,13,42
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,42
Suncor Magrath (SCR2),30,3,2015,4,9,13,42
Suncor Wintering Hills (SCR4),88,0,2015,4,9,13,42
Ardenville Wind (ARD1),68,3,2015,4,9,13,43
Blackspring Ridge (BSR1),300,0,2015,4,9,13,43
Blue Trail Wind (BTR1),66,0,2015,4,9,13,43
Castle River #1 (CR1),39,1,2015,4,9,13,43
Castle Rock Wind Farm (CRR1),77,2,2015,4,9,13,43
Cowley Ridge (CRW1),38,2,2015,4,9,13,43
Enmax Taber (TAB1),81,3,2015,4,9,13,43
Ghost Pine (NEP1),82,0,2015,4,9,13,43
Halkirk Wind Power Facility (HAL1),150,3,2015,4,9,13,43
Kettles Hill (KHW1),63,3,2015,4,9,13,43
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,43
Oldman 2 Wind Farm 1 (OWF1),46,7,2015,4,9,13,43
Soderglen Wind  (GWW1),71,6,2015,4,9,13,43
Summerview 1 (IEW1),66,5,2015,4,9,13,43
Summerview 2 (IEW2),66,8,2015,4,9,13,43
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,43
Suncor Magrath (SCR2),30,3,2015,4,9,13,43
Suncor Wintering Hills (SCR4),88,0,2015,4,9,13,43
Ardenville Wind (ARD1),68,3,2015,4,9,13,44
Blackspring Ridge (BSR1),300,0,2015,4,9,13,44
Blue Trail Wind (BTR1),66,0,2015,4,9,13,44
Castle River #1 (CR1),39,1,2015,4,9,13,44
Castle Rock Wind Farm (CRR1),77,2,2015,4,9,13,44
Cowley Ridge (CRW1),38,1,2015,4,9,13,44
Enmax Taber (TAB1),81,3,2015,4,9,13,44
Ghost Pine (NEP1),82,0,2015,4,9,13,44
Halkirk Wind Power Facility (HAL1),150,3,2015,4,9,13,44
Kettles Hill (KHW1),63,2,2015,4,9,13,44
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,44
Oldman 2 Wind Farm 1 (OWF1),46,6,2015,4,9,13,44
Soderglen Wind  (GWW1),71,8,2015,4,9,13,44
Summerview 1 (IEW1),66,4,2015,4,9,13,44
Summerview 2 (IEW2),66,8,2015,4,9,13,44
Suncor Chin Chute (SCR3),30,0,2015,4,9,13,44
Suncor Magrath (SCR2),30,3,2015,4,9,13,44
Suncor Wintering Hills (SCR4),88,1,2015,4,9,13,44
Ardenville Wind (ARD1),68,3,2015,4,9,13,45
Blackspring Ridge (BSR1),300,0,2015,4,9,13,45
Blue Trail Wind (BTR1),66,1,2015,4,9,13,45
Castle River #1 (CR1),39,1,2015,4,9,13,45
Castle Rock Wind Farm (CRR1),77,2,2015,4,9,13,45
Cowley Ridge (CRW1),38,1,2015,4,9,13,45
Enmax Taber (TAB1),81,1,2015,4,9,13,45
Ghost Pine (NEP1),82,0,2015,4,9,13,45
Halkirk Wind Power Facility (HAL1),150,3,2015,4,9,13,45
Kettles Hill (KHW1),63,2,2015,4,9,13,45
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,45
Oldman 2 Wind Farm 1 (OWF1),46,6,2015,4,9,13,45
Soderglen Wind  (GWW1),71,7,2015,4,9,13,45
Summerview 1 (IEW1),66,5,2015,4,9,13,45
Summerview 2 (IEW2),66,6,2015,4,9,13,45
Suncor Chin Chute (SCR3),30,0,2015,4,9,13,45
Suncor Magrath (SCR2),30,3,2015,4,9,13,45
Suncor Wintering Hills (SCR4),88,0,2015,4,9,13,45
Ardenville Wind (ARD1),68,4,2015,4,9,13,46
Blackspring Ridge (BSR1),300,0,2015,4,9,13,46
Blue Trail Wind (BTR1),66,0,2015,4,9,13,46
Castle River #1 (CR1),39,1,2015,4,9,13,46
Castle Rock Wind Farm (CRR1),77,2,2015,4,9,13,46
Cowley Ridge (CRW1),38,0,2015,4,9,13,46
Enmax Taber (TAB1),81,3,2015,4,9,13,46
Ghost Pine (NEP1),82,0,2015,4,9,13,46
Halkirk Wind Power Facility (HAL1),150,2,2015,4,9,13,46
Kettles Hill (KHW1),63,3,2015,4,9,13,46
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,46
Oldman 2 Wind Farm 1 (OWF1),46,6,2015,4,9,13,46
Soderglen Wind  (GWW1),71,7,2015,4,9,13,46
Summerview 1 (IEW1),66,5,2015,4,9,13,46
Summerview 2 (IEW2),66,5,2015,4,9,13,46
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,46
Suncor Magrath (SCR2),30,3,2015,4,9,13,46
Suncor Wintering Hills (SCR4),88,0,2015,4,9,13,46
Ardenville Wind (ARD1),68,3,2015,4,9,13,47
Blackspring Ridge (BSR1),300,1,2015,4,9,13,47
Blue Trail Wind (BTR1),66,0,2015,4,9,13,47
Castle River #1 (CR1),39,1,2015,4,9,13,47
Castle Rock Wind Farm (CRR1),77,1,2015,4,9,13,47
Cowley Ridge (CRW1),38,1,2015,4,9,13,47
Enmax Taber (TAB1),81,3,2015,4,9,13,47
Ghost Pine (NEP1),82,0,2015,4,9,13,47
Halkirk Wind Power Facility (HAL1),150,3,2015,4,9,13,47
Kettles Hill (KHW1),63,2,2015,4,9,13,47
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,47
Oldman 2 Wind Farm 1 (OWF1),46,6,2015,4,9,13,47
Soderglen Wind  (GWW1),71,6,2015,4,9,13,47
Summerview 1 (IEW1),66,4,2015,4,9,13,47
Summerview 2 (IEW2),66,5,2015,4,9,13,47
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,47
Suncor Magrath (SCR2),30,3,2015,4,9,13,47
Suncor Wintering Hills (SCR4),88,1,2015,4,9,13,47
Ardenville Wind (ARD1),68,2,2015,4,9,13,48
Blackspring Ridge (BSR1),300,0,2015,4,9,13,48
Blue Trail Wind (BTR1),66,1,2015,4,9,13,48
Castle River #1 (CR1),39,1,2015,4,9,13,48
Castle Rock Wind Farm (CRR1),77,1,2015,4,9,13,48
Cowley Ridge (CRW1),38,1,2015,4,9,13,48
Enmax Taber (TAB1),81,3,2015,4,9,13,48
Ghost Pine (NEP1),82,0,2015,4,9,13,48
Halkirk Wind Power Facility (HAL1),150,2,2015,4,9,13,48
Kettles Hill (KHW1),63,3,2015,4,9,13,48
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,48
Oldman 2 Wind Farm 1 (OWF1),46,5,2015,4,9,13,48
Soderglen Wind  (GWW1),71,8,2015,4,9,13,48
Summerview 1 (IEW1),66,7,2015,4,9,13,48
Summerview 2 (IEW2),66,6,2015,4,9,13,48
Suncor Chin Chute (SCR3),30,0,2015,4,9,13,48
Suncor Magrath (SCR2),30,4,2015,4,9,13,48
Suncor Wintering Hills (SCR4),88,1,2015,4,9,13,48
Ardenville Wind (ARD1),68,1,2015,4,9,13,49
Blackspring Ridge (BSR1),300,1,2015,4,9,13,49
Blue Trail Wind (BTR1),66,0,2015,4,9,13,49
Castle River #1 (CR1),39,1,2015,4,9,13,49
Castle Rock Wind Farm (CRR1),77,1,2015,4,9,13,49
Cowley Ridge (CRW1),38,1,2015,4,9,13,49
Enmax Taber (TAB1),81,3,2015,4,9,13,49
Ghost Pine (NEP1),82,0,2015,4,9,13,49
Halkirk Wind Power Facility (HAL1),150,3,2015,4,9,13,49
Kettles Hill (KHW1),63,2,2015,4,9,13,49
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,49
Oldman 2 Wind Farm 1 (OWF1),46,6,2015,4,9,13,49
Soderglen Wind  (GWW1),71,7,2015,4,9,13,49
Summerview 1 (IEW1),66,7,2015,4,9,13,49
Summerview 2 (IEW2),66,7,2015,4,9,13,49
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,49
Suncor Magrath (SCR2),30,4,2015,4,9,13,49
Suncor Wintering Hills (SCR4),88,1,2015,4,9,13,49
Ardenville Wind (ARD1),68,1,2015,4,9,13,50
Blackspring Ridge (BSR1),300,1,2015,4,9,13,50
Blue Trail Wind (BTR1),66,0,2015,4,9,13,50
Castle River #1 (CR1),39,1,2015,4,9,13,50
Castle Rock Wind Farm (CRR1),77,1,2015,4,9,13,50
Cowley Ridge (CRW1),38,1,2015,4,9,13,50
Enmax Taber (TAB1),81,4,2015,4,9,13,50
Ghost Pine (NEP1),82,0,2015,4,9,13,50
Halkirk Wind Power Facility (HAL1),150,2,2015,4,9,13,50
Kettles Hill (KHW1),63,3,2015,4,9,13,50
McBride Lake Windfarm (AKE1),73,0,2015,4,9,13,50
Oldman 2 Wind Farm 1 (OWF1),46,6,2015,4,9,13,50
Soderglen Wind  (GWW1),71,9,2015,4,9,13,50
Summerview 1 (IEW1),66,9,2015,4,9,13,50
Summerview 2 (IEW2),66,7,2015,4,9,13,50
Suncor Chin Chute (SCR3),30,1,2015,4,9,13,50
Suncor Magrath (SCR2),30,4,2015,4,9,13,50
Suncor Wintering Hills (SCR4),88,1,2015,4,9,13,50
Ardenville Wind (ARD1),68,1,2015,4,9,13,51
Blackspring Ridge (BSR1),300,1,2015,4,9,13,51
